City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,usinsk,65.9939,57.5281,13.064000000000032,89,100,5.36,RU,1701209667
288,trujillo,-8.116,-79.03,69.76400000000004,78,40,6.17,PE,1701209668
289,noumea,-22.2763,166.4572,82.38200000000002,99,100,0.59,NC,1701209553
290,ajman city,25.4111,55.435,77.03600000000007,73,20,3.09,AE,1701209669
291,chonchi,-42.6128,-73.8092,55.11200000000006,77,88,3.76,CL,1701209670
292,hasaki,35.7333,140.8333,35.99600000000005,35,0,0.35,JP,1701209671
293,veseloyarsk,51.2836,81.1056,30.866000000000007,71,92,2.64,RU,1701209672
294,inhambane,-23.865,35.3833,76.28000000000004,82,16,5.45,MZ,1701209673
295,akureyri,65.6835,-18.0878,31.928000000000065,100,75,0.0,IS,1701209673
296,rongelap,11.1635,166.8941,81.12200000000004,79,91,9.75,MH,1701209674
297,uturoa,-16.7333,-151.4333,80.61800000000008,79,60,8.94,PF,1701209675
298,anadyr,64.75,177.4833,28.904000000000053,80,75,8.0,RU,1701209427
299,kolwezi,-10.7148,25.4667,62.38399999999999,98,100,1.12,CD,1701209676
300,fortuna,40.5982,-124.1573,66.92000000000006,40,20,6.17,US,1701209676
301,kurchum,48.5722,83.6542,33.242,51,20,2.0,KZ,1701209677
302,keetmanshoop,-26.5833,18.1333,71.85200000000007,34,99,4.63,NA,1701209678
303,palu,-0.8917,119.8707,75.092,96,98,1.0,ID,1701209678
304,poso,-1.3959,120.7524,76.87400000000001,86,93,1.77,ID,1701209679
305,enriquillo,17.9,-71.2333,83.87600000000009,84,25,3.96,DO,1701209679
306,aasiaat,68.7098,-52.8699,14.252000000000077,66,98,9.6,GL,1701209680
307,kourou,5.1552,-52.6478,82.45400000000005,85,25,3.1,GF,1701209681
308,dickinson,29.4608,-95.0513,64.11200000000005,47,0,2.57,US,1701209681
309,ust-nera,64.5667,143.2,-5.763999999999982,99,100,1.28,RU,1701209682
310,bentiu,9.2333,29.8333,81.91400000000003,25,65,2.99,SS,1701209682
311,songjianghe,42.1859,127.479,6.926000000000091,79,100,4.49,CN,1701209683
312,papao,-17.75,-149.55,85.67600000000009,84,100,11.03,PF,1701209683
313,taoudenni,22.6783,-3.9836,69.83600000000007,15,87,3.09,ML,1701209684
314,nkhotakota,-12.9274,34.2961,78.53000000000004,67,37,1.74,MW,1701209685
315,axim,4.8699,-2.2405,79.44800000000002,83,54,2.79,GH,1701209685
316,tromso,69.6496,18.957,30.218000000000085,64,0,6.69,NO,1701209686
317,buala,-8.145,159.5921,83.49800000000002,74,80,1.43,SB,1701209686
318,tabas,33.5959,56.9244,55.61600000000001,41,1,1.03,IR,1701209687
319,yelizovo,53.1873,158.3805,16.808000000000003,72,75,5.0,RU,1701209687
320,ayr,55.4627,-4.6339,36.320000000000064,93,0,0.0,GB,1701209688
321,gadzhiyevo,69.2551,33.3362,28.741999999999997,87,100,7.99,RU,1701209688
322,itamaraca,-7.7478,-34.8256,80.65400000000005,71,21,4.88,BR,1701209689
323,wronki,52.7105,16.3804,25.61000000000008,96,22,2.35,PL,1701209690
324,placido de castro,-10.3353,-67.1856,84.14600000000004,65,100,0.61,BR,1701209690
325,altai,46.3722,96.2583,1.5980000000000238,88,53,1.53,MN,1701209691
326,lionel town,17.8101,-77.2406,82.292,83,60,3.31,JM,1701209691
327,lesparre-medoc,45.3,-0.9333,42.908,81,7,1.02,FR,1701209692
328,pyhajarvi,67.0701,27.2176,20.804000000000052,86,84,5.83,FI,1701209693
329,ataq,14.5377,46.8319,67.208,38,100,0.58,YE,1701209693
330,quepos,9.4236,-84.1652,82.74199999999999,77,28,1.14,CR,1701209694
331,petrolina,-9.3986,-40.5008,86.05400000000006,48,75,0.0,BR,1701209694
332,fort st. john,56.2499,-120.8529,40.891999999999996,56,20,9.26,CA,1701209695
333,alto araguaia,-17.3147,-53.2153,81.53600000000007,47,91,2.22,BR,1701209695
334,miles city,46.4083,-105.8406,52.772000000000034,20,0,6.17,US,1701209696
335,jeju city,33.5097,126.5219,49.064000000000036,69,82,2.88,KR,1701209491
336,aleg,17.0481,-13.9209,79.28600000000007,14,50,4.81,MR,1701209697
337,richards bay,-28.783,32.0377,77.16200000000006,87,100,7.87,ZA,1701209697
338,guerrero negro,27.9769,-114.0611,70.41200000000006,54,100,4.74,MX,1701209698
339,agat village,13.3886,144.6585,84.36200000000005,81,0,6.69,GU,1701209698
340,serenje,-13.2325,30.2352,67.85600000000002,70,91,1.78,ZM,1701209699
341,kimbe,-5.5502,150.1429,82.36400000000003,78,91,0.64,PG,1701209700
342,sarupathar,26.1984,93.8094,59.95400000000005,90,6,0.16,IN,1701209700
343,christchurch,-43.5333,172.6333,56.912000000000056,60,100,5.14,NZ,1701209474
344,al ghayzah,16.2079,52.176,75.61400000000003,69,76,0.74,YE,1701209701
345,hadibu,12.65,54.0333,78.94400000000007,66,100,6.32,YE,1701209703
